Latitude,Longitude,Altitude,Speed (km/h)
,,,
,,,
58.34221017,25.56777967,93,1.03
58.34220783,25.56778183,93,1.072
58.34220483,25.5677845,93,0.927
58.34220433,25.56778933,93,0.88
58.34220333,25.56779217,93,0.921
58.34220167,25.5677945,93,1.104
58.34219817,25.56779567,93,1.255
58.34219517,25.56779883,93,1.423
58.342192,25.56780233,93,1.46
58.34219117,25.56780317,93,1.521
58.34218983,25.56780367,93,1.507
58.3421895,25.56780333,93,1.411
58.34219,25.567802,93,1.307
58.34219067,25.56779867,93,1.1
58.34219317,25.5677995,93,1.032
58.34219367,25.56779933,93,1.016
58.34219317,25.567799,93,1.027
58.3421925,25.5678,93,1.112
58.3421905,25.5678005,93,1.217
58.34218817,25.56780033,93,1.299
58.34218633,25.56780017,93,1.377
58.3421845,25.5678015,93,1.562
58.34218117,25.56780133,93,1.743
58.34217833,25.56780033,93,1.925
58.34217567,25.56779833,93,2.033
58.34217433,25.5677965,93,1.992
58.34217367,25.56779733,93,1.975
58.34217267,25.567798,93,1.851
58.34217267,25.5678005,93,1.861
58.34217133,25.567802,93,1.989
58.34216867,25.567802,93,2.093
